code_type;code_commune;geo point;geo shape;infobulle;nom;ligne;en_service;couvert;etiquette;num_sation;nb_bornettes;rue;mot_directeur;No;locations_2016;nb_places
17;6;43.58930245604974, 1.4317803032231584;"{""coordinates"": [[1.431780303223158, 43.58930245604974]], ""type"": ""MultiPoint""}";"AVENUE DE MURET - MARCEL CAVAILLE
ligne T1";AVENUE DE MURET - MARCEL CAVAILLE;T1;2013;Aérien;Avenue de Muret-Marcel Cavaillé;;;;;;;
17;6;43.592744550846625, 1.4440361121619238;"{""coordinates"": [[1.444036112161924, 43.592744550846625]], ""type"": ""MultiPoint""}";"PALAIS DE JUSTICE
ligne T1";PALAIS DE JUSTICE;T1;2013;Aérien;Palais de justice;;;;;;;
17;3;43.63134028147687, 1.3743750605910123;"{""coordinates"": [[1.374375060591012, 43.63134028147687]], ""type"": ""MultiPoint""}";"AEROPORT
ligne T2";AEROPORT;T2;2015;Aérien;Aéroport;;;;;;;
17;2;43.66764678464159, 1.3599434505598815;"{""coordinates"": [[1.359943450559882, 43.66764678464159]], ""type"": ""MultiPoint""}";"PARC DES EXPOSITIONS
ligne T1";PARC DES EXPOSITIONS;T1;2020;Aérien;Parc des Expositions;;;;;;;
17;3;43.644754167912254, 1.3774639249252767;"{""coordinates"": [[1.377463924925277, 43.644754167912254]], ""type"": ""MultiPoint""}";"GRAND NOBLE
ligne T1";GRAND NOBLE;T1;2010;Aérien;Grand Noble;;;;;;;
17;3;43.636243935393175, 1.3853418072225077;"{""coordinates"": [[1.385341807222508, 43.636243935393175]], ""type"": ""MultiPoint""}";"ODYSSUD RITOURET
ligne T1";ODYSSUD RITOURET;T1;2010;Aérien;Odyssud-Ritouret;;;;;;;
17;3;43.63675043507753, 1.3900623708230377;"{""coordinates"": [[1.390062370823038, 43.63675043507753]], ""type"": ""MultiPoint""}";"PLACE DU RELAIS
ligne T1";PLACE DU RELAIS;T1;2010;Aérien;Place du Relais;;;;;;;
17;3;43.62548540461833, 1.3934788817063193;"{""coordinates"": [[1.393478881706319, 43.62548540461833]], ""type"": ""MultiPoint""}";"SERVANTY AIRBUS
ligne T1";SERVANTY AIRBUS;T1;2010;Aérien;Servanty-Airbus;;;;;;;
17;6;43.614084691299624, 1.3983093859403866;"{""coordinates"": [[1.398309385940387, 43.614084691299624]], ""type"": ""MultiPoint""}";"ARENES ROMAINES
ligne T1";ARENES ROMAINES;T1;2010;Aérien;Arènes Romaines;;;;;;;
17;6;43.6008514844726, 1.411385934553249;"{""coordinates"": [[1.411385934553249, 43.6008514844726]], ""type"": ""MultiPoint""}";"ZENITH
ligne T1";ZENITH;T1;2010;Aérien;Zénith;;;;;;;
17;6;43.592625349649396, 1.4354993849495135;"{""coordinates"": [[1.435499384949513, 43.592625349649396]], ""type"": ""MultiPoint""}";"FER A CHEVAL
ligne T1";FER A CHEVAL;T1;2013;Aérien;Fer à cheval;;;;;;;
17;3;43.64853137755017, 1.375641977702061;"{""coordinates"": [[1.375641977702061, 43.64853137755017]], ""type"": ""MultiPoint""}";"PLACE GEORGES BRASSENS
ligne T1";PLACE GEORGES BRASSENS;T1;2010;Aérien;Place Georges Brassens;;;;;;;
17;6;43.59488281564637, 1.4094307705611087;"{""coordinates"": [[1.409430770561109, 43.59488281564637]], ""type"": ""MultiPoint""}";"HIPPODROME
ligne T1";HIPPODROME;T1;2010;Aérien;Hippodrome;;;;;;;
17;6;43.59282790479078, 1.4179403080010222;"{""coordinates"": [[1.417940308001022, 43.59282790479078]], ""type"": ""MultiPoint""}";"ARENES
ligne T1";ARENES;T1;2010;Aérien;Arènes;;;;;;;
17;6;43.5896899913399, 1.421597493275833;"{""coordinates"": [[1.421597493275833, 43.5896899913399]], ""type"": ""MultiPoint""}";"DEODAT DE SEVERAC
ligne T1";DEODAT DE SEVERAC;T1;2013;Aérien;Déodat de Séverac;;;;;;;
17;3;43.62438397124793, 1.3867617250202497;"{""coordinates"": [[1.38676172502025, 43.62438397124793]], ""type"": ""MultiPoint""}";"NADOT
ligne T2";NADOT;T2;2015;Aérien;Nadot;;;;;;;
17;3;43.65482367917507, 1.3735825810520388;"{""coordinates"": [[1.373582581052039, 43.65482367917507]], ""type"": ""MultiPoint""}";"ANDROMEDE LYCEE
ligne T1";ANDROMEDE LYCEE;T1;2010;Aérien;Andromède-Lycée;;;;;;;
17;3;43.64050780714941, 1.3825570833346879;"{""coordinates"": [[1.382557083334688, 43.64050780714941]], ""type"": ""MultiPoint""}";"PATINOIRE BARRADELS
ligne T1";PATINOIRE BARRADELS;T1;2010;Aérien;Patinoire-Barradels;;;;;;;
17;3;43.630865024117426, 1.3917366126127853;"{""coordinates"": [[1.391736612612785, 43.630865024117426]], ""type"": ""MultiPoint""}";"GUYENNE BERRY
ligne T1";GUYENNE BERRY;T1;2010;Aérien;Guyenne-Berry;;;;;;;
17;6;43.609107245760164, 1.402001744875977;"{""coordinates"": [[1.402001744875977, 43.609107245760164]], ""type"": ""MultiPoint""}";"PURPAN
ligne T1";PURPAN;T1;2010;Aérien;Purpan;;;;;;;
17;6;43.60312658606025, 1.407676393256462;"{""coordinates"": [[1.407676393256462, 43.60312658606025]], ""type"": ""MultiPoint""}";"CARTOUCHERIE
ligne T1";CARTOUCHERIE;T1;2010;Aérien;Cartoucherie;;;;;;;
17;6;43.58564645360405, 1.427813515462636;"{""coordinates"": [[1.427813515462636, 43.58564645360405]], ""type"": ""MultiPoint""}";"CROIX DE PIERRE
ligne T1";CROIX DE PIERRE;T1;2013;Aérien;Croix de Pierre;;;;;;;
17;3;43.62884803957818, 1.3793727040106212;"{""coordinates"": [[1.379372704010621, 43.62884803957818]], ""type"": ""MultiPoint""}";"DAURAT
ligne T2";DAURAT;T2;2015;Aérien;Daurat;;;;;;;
17;3;43.663455662614005, 1.3626061300115513;"{""coordinates"": [[1.362606130011551, 43.663455662614005]], ""type"": ""MultiPoint""}";"AEROCONSTELLATION
ligne T1";AEROCONSTELLATION;T1;2010;Aérien;Aéroconstellation;;;;;;;
17;2;43.66025518959788, 1.36950733519988;"{""coordinates"": [[1.36950733519988, 43.66025518959788]], ""type"": ""MultiPoint""}";"BEAUZELLE - AEROSCOPIA
ligne T1";BEAUZELLE - AEROSCOPIA;T1;2010;Aérien;Beauzelle-Aéroscopia;;;;;;;
